nom_du_joueur;IDjoueur;nom_du_jeu;action_de_jeu;mise;difficulty;score;gagnant
Melissa;vtr2jxgs3;Motrice;25;4;7.5;21;1
Melissa;vtr2jxgs3;Motrice;26;4;8.001676738655377;17;0
Melissa;vtr2jxgs3;Motrice;27;4;7.5;21;1
Melissa;vtr2jxgs3;Motrice;28;3;8.001676738655377;18;0
Melissa;vtr2jxgs3;Motrice;29;4;7.5;14;0
Melissa;vtr2jxgs3;Motrice;30;4;6.998323261344622;18;1
Melissa;vtr2jxgs3;Sensoriel;1;7;0;-7;0
Melissa;vtr2jxgs3;Sensoriel;2;4;0;-11;0
Melissa;vtr2jxgs3;Sensoriel;3;7;0;-18;0
Melissa;vtr2jxgs3;Sensoriel;4;1;0;-19;0
Melissa;vtr2jxgs3;Sensoriel;5;7;0;-12;1
Melissa;vtr2jxgs3;Sensoriel;6;7;0.1;-5;1
Melissa;vtr2jxgs3;Sensoriel;7;7;0.2;2;1
Melissa;vtr2jxgs3;Sensoriel;8;7;0.30000000000000004;9;1
Melissa;vtr2jxgs3;Sensoriel;9;7;0.4;16;1
Melissa;vtr2jxgs3;Sensoriel;10;2;0.5;14;0
Melissa;vtr2jxgs3;Sensoriel;11;1;0.4;13;0
Melissa;vtr2jxgs3;Sensoriel;12;7;0.30000000000000004;6;0
Melissa;vtr2jxgs3;Sensoriel;13;4;0.20000000000000004;2;0
Melissa;vtr2jxgs3;Sensoriel;14;4;0.10000000000000003;-2;0
Melissa;vtr2jxgs3;Sensoriel;15;7;2.7755575615628914e-17;5;1
Melissa;vtr2jxgs3;Sensoriel;16;7;0.10000000000000003;12;1
Melissa;vtr2jxgs3;Sensoriel;17;7;0.20000000000000004;19;1
Melissa;vtr2jxgs3;Sensoriel;18;7;0.30000000000000004;12;0
Melissa;vtr2jxgs3;Sensoriel;19;7;0.20000000000000004;19;1
Melissa;vtr2jxgs3;Sensoriel;20;1;0.30000000000000004;20;1
Melissa;vtr2jxgs3;Sensoriel;21;1;0.4;19;0
Melissa;vtr2jxgs3;Sensoriel;22;7;0.30000000000000004;12;0
Melissa;vtr2jxgs3;Sensoriel;23;7;0.20000000000000004;5;0
Melissa;vtr2jxgs3;Sensoriel;24;1;0.10000000000000003;6;1
Melissa;vtr2jxgs3;Sensoriel;25;7;0.20000000000000004;13;1
Melissa;vtr2jxgs3;Sensoriel;26;7;0.30000000000000004;20;1
Melissa;vtr2jxgs3;Sensoriel;27;7;0.4;27;1
Melissa;vtr2jxgs3;Sensoriel;28;1;0.5;26;0
Melissa;vtr2jxgs3;Sensoriel;29;1;0.4;25;0
Melissa;vtr2jxgs3;Sensoriel;30;1;0.30000000000000004;24;0
helene;du4i2zx1r;Motrice;1;2;4.034264097200273;-2;0
helene;du4i2zx1r;Motrice;2;1;3.1634973615297346;-1;1
helene;du4i2zx1r;Motrice;3;2;4.034264097200273;-3;0
helene;du4i2zx1r;Motrice;4;2;3.1634973615297346;-5;0
helene;du4i2zx1r;Motrice;5;1;2.006938556659452;-4;1
helene;du4i2zx1r;Motrice;6;2;3.1634973615297346;-6;0
helene;du4i2zx1r;Motrice;7;2;2.006938556659452;-4;1
helene;du4i2zx1r;Motrice;8;3;3.1634973615297346;-7;0
helene;du4i2zx1r;Motrice;9;3;2.006938556659452;-4;1
helene;du4i2zx1r;Motrice;10;3;3.1634973615297346;-7;0
helene;du4i2zx1r;Motrice;11;7;2.006938556659452;0;1
helene;du4i2zx1r;Motrice;12;7;3.1634973615297346;-7;0
helene;du4i2zx1r;Motrice;13;5;2.006938556659452;-2;1
helene;du4i2zx1r;Motrice;14;5;3.1634973615297346;-7;0
helene;du4i2zx1r;Motrice;15;5;2.006938556659452;-2;1
helene;du4i2zx1r;Motrice;16;3;3.1634973615297346;-5;0
helene;du4i2zx1r;Motrice;17;2;2.006938556659452;-7;0
helene;du4i2zx1r;Motrice;18;2;0.138902552083896;-5;1
helene;du4i2zx1r;Motrice;19;2;2.006938556659452;-7;0
helene;du4i2zx1r;Motrice;20;7;0.138902552083896;0;1
helene;du4i2zx1r;Motrice;21;2;2.006938556659452;-2;0
helene;du4i2zx1r;Motrice;22;7;0.138902552083896;5;1
helene;du4i2zx1r;Motrice;23;1;2.006938556659452;6;1
helene;du4i2zx1r;Motrice;24;1;3.1634973615297346;5;0
helene;du4i2zx1r;Motrice;25;1;2.006938556659452;6;1
helene;du4i2zx1r;Motrice;26;2;3.1634973615297346;4;0
helene;du4i2zx1r;Motrice;27;2;2.006938556659452;2;0
helene;du4i2zx1r;Motrice;28;7;0.138902552083896;9;1
helene;du4i2zx1r;Motrice;29;2;2.006938556659452;7;0
helene;du4i2zx1r;Motrice;30;7;0.138902552083896;14;1
helene;du4i2zx1r;Logique2;1;2;0.1;2;1
helene;du4i2zx1r;Logique2;2;6;0.2;8;1
helene;du4i2zx1r;Logique2;3;7;0.30000000000000004;15;1
helene;du4i2zx1r;Logique2;4;2;0.4;17;1
helene;du4i2zx1r;Logique2;5;1;0.5;16;0
helene;du4i2zx1r;Logique2;6;1;0.4;15;0
helene;du4i2zx1r;Logique2;7;1;0.30000000000000004;14;0
helene;du4i2zx1r;Logique2;8;7;0.20000000000000004;21;1
helene;du4i2zx1r;Logique2;9;1;0.30000000000000004;20;0
helene;du4i2zx1r;Logique2;10;7;0.20000000000000004;27;1
helene;du4i2zx1r;Logique2;11;1;0.30000000000000004;28;1
helene;du4i2zx1r;Logique2;12;7;0.4;35;1
helene;du4i2zx1r;Logique2;13;1;0.5;34;0
helene;du4i2zx1r;Logique2;14;2;0.4;36;1
helene;du4i2zx1r;Logique2;15;3;0.5;39;1
helene;du4i2zx1r;Logique2;16;7;0.6;46;1
helene;du4i2zx1r;Logique2;17;5;0.7;51;1
helene;du4i2zx1r;Logique2;18;3;0.7999999999999999;48;0
helene;du4i2zx1r;Logique2;19;1;0.7;47;0
helene;du4i2zx1r;Logique2;20;1;0.6;46;0
helene;du4i2zx1r;Logique2;21;7;0.5;53;1
helene;du4i2zx1r;Logique2;22;7;0.6;60;1
helene;du4i2zx1r;Logique2;23;1;0.7;59;0
helene;du4i2zx1r;Logique2;24;1;0.6;60;1
helene;du4i2zx1r;Logique2;25;1;0.7;61;1
helene;du4i2zx1r;Logique2;26;1;0.7999999999999999;60;0
helene;du4i2zx1r;Logique2;27;1;0.7;61;1
helene;du4i2zx1r;Logique2;28;1;0.7999999999999999;62;1
helene;du4i2zx1r;Logique2;29;1;0.8999999999999999;61;0
helene;du4i2zx1r;Logique2;30;2;0.7999999999999999;63;1
helene;du4i2zx1r;Sensoriel;1;7;0;7;1
helene;du4i2zx1r;Sensoriel;2;1;0.1;6;0
helene;du4i2zx1r;Sensoriel;3;7;0;13;1
helene;du4i2zx1r;Sensoriel;4;7;0.1;20;1
helene;du4i2zx1r;Sensoriel;5;7;0.2;27;1
helene;du4i2zx1r;Sensoriel;6;7;0.30000000000000004;34;1
helene;du4i2zx1r;Sensoriel;7;1;0.4;33;0
helene;du4i2zx1r;Sensoriel;8;1;0.30000000000000004;34;1
helene;du4i2zx1r;Sensoriel;9;1;0.4;33;0
helene;du4i2zx1r;Sensoriel;10;1;0.30000000000000004;32;0
helene;du4i2zx1r;Sensoriel;11;1;0.20000000000000004;31;0
helene;du4i2zx1r;Sensoriel;12;3;0.10000000000000003;34;1
helene;du4i2zx1r;Sensoriel;13;4;0.20000000000000004;30;0
helene;du4i2zx1r;Sensoriel;14;7;0.10000000000000003;37;1
